,Song Name,Album Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (MS),Time Signature
0,Algorithm,Simulation Theory (Super Deluxe),0.522,0.923,2,-4.56,1,0.0539,0.0125,0.017,0.0854,0.595,170.057,245960,4
1,The Dark Side,Simulation Theory (Super Deluxe),0.484,0.927,2,-3.759,1,0.0425,0.000884,3.96e-06,0.223,0.389,99.979,227213,4
2,Pressure,Simulation Theory (Super Deluxe),0.622,0.842,11,-3.678,0,0.0609,0.00342,0.00014,0.0575,0.724,136.041,235600,4
3,Propaganda,Simulation Theory (Super Deluxe),0.754,0.675,2,-4.616,1,0.0939,0.0251,0.00419,0.513,0.432,95.024,180507,4
4,Break It to Me,Simulation Theory (Super Deluxe),0.667,0.967,1,-0.759,0,0.0939,0.157,0.258,0.0596,0.614,90.015,217560,4
5,Something Human,Simulation Theory (Super Deluxe),0.59,0.903,9,-4.841,1,0.0542,0.0536,0.00289,0.12,0.545,105.018,226787,4
6,Thought Contagion,Simulation Theory (Super Deluxe),0.48,0.76,5,-3.663,1,0.0402,0.00107,2.37e-05,0.0809,0.378,139.985,206107,4
7,Get up and Fight,Simulation Theory (Super Deluxe),0.646,0.846,4,-5.654,1,0.0356,0.0043,1.4e-05,0.105,0.87,135.014,244720,4
8,Blockades,Simulation Theory (Super Deluxe),0.498,0.941,7,-4.454,0,0.0878,0.000644,0.0236,0.34,0.236,127.044,230680,4
9,Dig Down,Simulation Theory (Super Deluxe),0.428,0.429,0,-6.06,1,0.049,0.0879,0.00041,0.168,0.182,127.173,228147,4
10,The Void,Simulation Theory (Super Deluxe),0.571,0.551,7,-8.736,0,0.0268,0.431,0.0207,0.0852,0.165,134.819,284853,4
11,Algorithm (Alternate Reality Version),Simulation Theory (Super Deluxe),0.441,0.747,8,-9.034,1,0.0585,0.0139,0.0224,0.111,0.0517,84.96,212360,4
12,The Dark Side (Alternate Reality Version),Simulation Theory (Super Deluxe),0.278,0.364,0,-11.915,0,0.031,0.924,0.00423,0.127,0.0934,95.149,234173,4
13,Pressure (feat. UCLA Bruin Marching Band),Simulation Theory (Super Deluxe),0.631,0.947,4,-2.656,0,0.0551,0.496,4.63e-05,0.576,0.807,136.016,244027,4
14,Propaganda (Acoustic),Simulation Theory (Super Deluxe),0.769,0.664,2,-4.841,1,0.209,0.107,0.0312,0.309,0.706,95.009,178627,4
15,Break It to Me (Sam de Jong Remix),Simulation Theory (Super Deluxe),0.569,0.81,10,-4.88,0,0.0803,0.0412,2.11e-06,0.105,0.153,179.9,188200,4
16,Something Human (Acoustic),Simulation Theory (Super Deluxe),0.609,0.832,9,-5.284,1,0.039,0.425,4.44e-05,0.17,0.654,105.023,226333,4
